Institution,State,Plastic_Type,Quantity_kg,Disposal_Method
KIET Group of Institutions,Karnataka,PP Autoclave Bags,20.0,Recycled
KIET Group of Institutions,Karnataka,PET Canteen Bottles,37.5,Recycled
KIET Group of Institutions,Karnataka,HDPE Waste Bins,28.0,Co-Processed
KIET Group of Institutions,Karnataka,PP Non-woven Fabric Waste,16.5,Co-Processed
KIET Group of Institutions,Karnataka,LDPE Zip-lock Bags,9.0,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Noodle Packets,13.0,Incinerated
KIET Group of Institutions,Karnataka,PS Egg Trays,7.0,Landfilled
KIET Group of Institutions,Karnataka,PET Cooking Oil Bottles,44.0,Recycled
KIET Group of Institutions,Karnataka,HDPE Detergent Bottles,19.0,Recycled
KIET Group of Institutions,Karnataka,PP Yoghurt Cups,11.0,Recycled
KIET Group of Institutions,Karnataka,LDPE Frozen Food Pouches,14.0,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Coffee Pouches,12.0,Incinerated
KIET Group of Institutions,Karnataka,PET Cosmetic Bottles,26.5,Recycled
KIET Group of Institutions,Karnataka,HDPE Crate Scrap,38.0,Co-Processed
KIET Group of Institutions,Karnataka,PS Rigid Packaging,8.0,Landfilled
KIET Group of Institutions,Karnataka,LDPE Cling Wrap,7.5,Landfilled
KIET Group of Institutions,Karnataka,Multi-layer Juice Tetra,21.0,Incinerated
KIET Group of Institutions,Karnataka,PP Automobile Parts Scrap,17.5,Co-Processed
KIET Group of Institutions,Karnataka,PET Blister Packs,15.5,Recycled
KIET Group of Institutions,Karnataka,HDPE Fibre Drum Lid,10.5,Recycled
